asin,l2_category
9730e4878a861e4ae11a93d888739e5b,house
cc26bea555d906da54638c8708d56548,garden
3446b726902b8372e73daec7bbeea64f,beauty
04e51735f5ebd1aa9bc85dd1c7c96852,garden
5f4da0db0d845bf510a60070fa42d8f9,wellness
3dda4e4e1dd13c001c540c86950b0c52,pet care
79571bdba7e927181fa7c2615008a361,wellness
48018343acecd67b73ef00fbae0265e5,pet care
afa9529e79a02cefba94961ad584fe9a,garden
2e83845efbcdc0833f1e57d3ce6ba494,beauty
5ad420714fd261cff6fa39514488a152,garden
49ed8199f61752031dd320face497000,pet care
0572a115bc082c27835bd97db68245b5,entertainment
90cffabf5695bdb0c6ab45ee3407e911,wellness
b1a99c478264984a20a67ec9679a617f,pet care
b66da3b4da6ea9f7ecab6bd584f45ffe,entertainment
332e3562f6fc0b0f99bc10f3f5c2f58f,entertainment
db1f13669ed65df1b635cea9ae21edf4,beauty
8f978db4e9efe999f35aca8e05ab38c8,pet care
f4798ace0d967b51b7a50742dc02ad63,beauty
9a05fcb8f15a949658b82fd43af248ec,wellness
20fb5ec7d0d7eaa7a0b8c72767f429bf,wellness
5c295b865394b70221165443ce46a5f9,garden
1515521e0aa974fb7ed638e17f696e27,other
9616c930a490039df6f621d86813d4a6,garden
5a289891cfce0ef1ea305e83376e2b39,garden
787a211d6f9ed1a104cad631065efb2b,pet care
4304e4a43379111b7ad303e507819061,beauty
37ecfde7a993ae9b1d00352265d4659b,house
5075cd903bd0f667b3a9f2a014cd1ee0,garden
4a0a87024fba844ce818ea05e6d04ddd,beauty
db6a0af7cfc37e99b3b5370eaf7af29b,wellness
b26e81e72d37425b1449f14fe30c840b,house
10f8e03f831962ca900025d2846cc564,beauty
3c30db9f11e95ff6c14eba1578e16fb9,beauty
a99ff46491fedd51e97e36a1b653cfaa,wellness
e330a15fd8b2864f076180b71a406eda,beauty
4a59c1760692b51a2d56ee51b9b19356,wellness
eddf00140e89072af4449be8c1ea1f34,garden
c40b16e164464af924fec3bc3e205469,wellness
841c366a95d2f25c1152c3fb6ceb298b,house
2c6c880a5a986610829265be8dec10ff,garden
de7047665ce86fa9b945fe826bbf2511,wellness
abcae63a7f3ba1a3bbb8b439b9b1f5d3,wellness
2a1ec62fc549ca0d1ee098f1b9bf9831,beauty
cb3cb72c4224e62db19854ea62b4bf27,beauty
